sample	accession	fasta	assembly_level	organism_name	taxid	ftp_path	ftp_fasta
GCF_013378015v1	GCF_013378015.1	GCF_013378015.1_genomic.fna	complete	Mannheimia pernigra	111844	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/378/015/GCF_013378015.1_ASM1337801v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/378/015/GCF_013378015.1_ASM1337801v1/GCF_013378015.1_ASM1337801v1_genomic.fna.gz
GCF_006547005v1	GCF_006547005.1	GCF_006547005.1_genomic.fna	complete	Pandoraea pnomenusa	93220	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/547/005/GCF_006547005.1_ASM654700v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/547/005/GCF_006547005.1_ASM654700v1/GCF_006547005.1_ASM654700v1_genomic.fna.gz
GCF_023035295v1	GCF_023035295.1	GCF_023035295.1_genomic.fna	complete	Borrelia coriaceae	144	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/295/GCF_023035295.1_ASM2303529v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/035/295/GCF_023035295.1_ASM2303529v1/GCF_023035295.1_ASM2303529v1_genomic.fna.gz
GCF_056822085v1	GCF_056822085.1	GCF_056822085.1_genomic.fna	complete	Klebsiella pneumoniae	573	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/056/822/085/GCF_056822085.1_ASM5682208v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/056/822/085/GCF_056822085.1_ASM5682208v1/GCF_056822085.1_ASM5682208v1_genomic.fna.gz
GCF_004355345v1	GCF_004355345.1	GCF_004355345.1_genomic.fna	complete	Xanthomonas oryzae pv. oryzae	64187	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/355/345/GCF_004355345.1_ASM435534v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/355/345/GCF_004355345.1_ASM435534v1/GCF_004355345.1_ASM435534v1_genomic.fna.gz
GCF_057730775v1	GCF_057730775.1	GCF_057730775.1_genomic.fna	complete	Aliivibrio fischeri	668	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/057/730/775/GCF_057730775.1_ASM5773077v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/057/730/775/GCF_057730775.1_ASM5773077v1/GCF_057730775.1_ASM5773077v1_genomic.fna.gz
GCF_058093155v1	GCF_058093155.1	GCF_058093155.1_genomic.fna	complete	Listeria monocytogenes	1639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/058/093/155/GCF_058093155.1_ASM5809315v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/058/093/155/GCF_058093155.1_ASM5809315v1/GCF_058093155.1_ASM5809315v1_genomic.fna.gz
GCF_038712055v1	GCF_038712055.1	GCF_038712055.1_genomic.fna	complete	Pseudomonas alkylphenolica	237609	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/712/055/GCF_038712055.1_ASM3871205v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/712/055/GCF_038712055.1_ASM3871205v1/GCF_038712055.1_ASM3871205v1_genomic.fna.gz
GCF_030908385v1	GCF_030908385.1	GCF_030908385.1_genomic.fna	complete	Mangrovimonas sp. YM274	3070660	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/908/385/GCF_030908385.1_ASM3090838v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/908/385/GCF_030908385.1_ASM3090838v1/GCF_030908385.1_ASM3090838v1_genomic.fna.gz
GCF_000834255v1	GCF_000834255.1	GCF_000834255.1_genomic.fna	complete	Yersinia ruckeri	29486	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/255/GCF_000834255.1_ASM83425v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/255/GCF_000834255.1_ASM83425v1/GCF_000834255.1_ASM83425v1_genomic.fna.gz
