sample	assembly_level	source	genome_bp	n_contigs	n50	longest_contig	n_is	n_complete	n_partial	is_bp	n_families	top_family	pct_genome_is	isescan_tsv	fasta
GCF_013378015v1	complete	ncbi	2262740	3	2245863	2245863	12	7	5	14462	5	IS3	0.6391	results/isescan/GCF_013378015v1/GCF_013378015v1.tsv	GCF_013378015.1_genomic.fna
GCF_006547005v1	complete	ncbi	5389809	1	5389809	5389809	47	32	15	56263	6	IS3	1.0439	results/isescan/GCF_006547005v1/GCF_006547005v1.tsv	GCF_006547005.1_genomic.fna
GCF_023035295v1	complete	ncbi	1787333	24	920509	920509	1	0	1	1812	1	IS21	0.1014	results/isescan/GCF_023035295v1/GCF_023035295v1.tsv	GCF_023035295.1_genomic.fna
GCF_056822085v1	complete	ncbi	5979766	4	5464560	5464560	98	78	20	112245	13	IS5	1.8771	results/isescan/GCF_056822085v1/GCF_056822085v1.tsv	GCF_056822085.1_genomic.fna
GCF_004355345v1	complete	ncbi	4658608	1	4658608	4658608	351	281	70	391350	11	IS5	8.4006	results/isescan/GCF_004355345v1/GCF_004355345v1.tsv	GCF_004355345.1_genomic.fna
GCF_057730775v1	complete	ncbi	4300401	2	2990236	2990236	2	0	2	2085	2	IS21	0.0485	results/isescan/GCF_057730775v1/GCF_057730775v1.tsv	GCF_057730775.1_genomic.fna
GCF_058093155v1	complete	ncbi	2950893	1	2950893	2950893	4	0	4	3569	2	IS21	0.1209	results/isescan/GCF_058093155v1/GCF_058093155v1.tsv	GCF_058093155.1_genomic.fna
GCF_038712055v1	complete	ncbi	5665012	1	5665012	5665012	10	4	6	9546	4	IS3	0.1685	results/isescan/GCF_038712055v1/GCF_038712055v1.tsv	GCF_038712055.1_genomic.fna
GCF_030908385v1	complete	ncbi	3823913	1	3823913	3823913	8	2	6	9840	4	IS3	0.2573	results/isescan/GCF_030908385v1/GCF_030908385v1.tsv	GCF_030908385.1_genomic.fna
GCF_000834255v1	complete	ncbi	3605216	1	3605216	3605216	34	15	19	35180	8	IS3	0.9758	results/isescan/GCF_000834255v1/GCF_000834255v1.tsv	GCF_000834255.1_genomic.fna
GCF_024749645v1	complete	ncbi	3919146	4	3810521	3810521	49	39	10	57476	7	IS3	1.4665	results/isescan/GCF_024749645v1/GCF_024749645v1.tsv	GCF_024749645.1_genomic.fna
GCF_046736325v1	complete	ncbi	4061481	5	3022315	3022315	44	29	15	41396	3	IS5	1.0192	results/isescan/GCF_046736325v1/GCF_046736325v1.tsv	GCF_046736325.1_genomic.fna
GCF_011044475v1	complete	ncbi	4982863	3	4550072	4550072	11	5	6	15410	3	ISNCY	0.3093	results/isescan/GCF_011044475v1/GCF_011044475v1.tsv	GCF_011044475.1_genomic.fna
GCF_022559345v1	complete	ncbi	4936085	3	4683638	4683638	47	20	27	49327	11	IS3	0.9993	results/isescan/GCF_022559345v1/GCF_022559345v1.tsv	GCF_022559345.1_genomic.fna
GCF_039783285v1	complete	ncbi	1942956	1	1942956	1942956	59	31	28	60848	9	IS3	3.1317	results/isescan/GCF_039783285v1/GCF_039783285v1.tsv	GCF_039783285.1_genomic.fna
GCF_051132495v1	complete	ncbi	2100204	1	2100204	2100204	64	24	40	60246	11	ISL3	2.8686	results/isescan/GCF_051132495v1/GCF_051132495v1.tsv	GCF_051132495.1_genomic.fna
GCF_040554455v1	complete	ncbi	4721897	2	4680448	4680448	26	20	6	32639	7	IS110	0.6912	results/isescan/GCF_040554455v1/GCF_040554455v1.tsv	GCF_040554455.1_genomic.fna
GCF_003628555v1	complete	ncbi	4956835	1	4956835	4956835	47	39	8	76690	11	IS1182	1.5472	results/isescan/GCF_003628555v1/GCF_003628555v1.tsv	GCF_003628555.1_genomic.fna
GCF_900489725v1	complete	ncbi	1085633	1	1085633	1085633	10	9	1	14219	2	IS3	1.3097	results/isescan/GCF_900489725v1/GCF_900489725v1.tsv	GCF_900489725.1_genomic.fna
GCF_050506935v1	complete	ncbi	2885024	4	2873857	2873857	28	17	11	35176	7	IS30	1.2193	results/isescan/GCF_050506935v1/GCF_050506935v1.tsv	GCF_050506935.1_genomic.fna
GCF_025403965v1	contig	ncbi	5110392	104	180360	533538	29	12	17	33200	9	IS3	0.6497	results/isescan/GCF_025403965v1/GCF_025403965v1.tsv	GCF_025403965.1_genomic.fna
GCF_039571325v1	contig	ncbi	5701237	91	318413	960292	10	4	6	13138	6	ISNCY	0.2304	results/isescan/GCF_039571325v1/GCF_039571325v1.tsv	GCF_039571325.1_genomic.fna
GCF_900583485v1	contig	ncbi	5976752	64	448870	776809	14	0	14	11297	4	IS66	0.189	results/isescan/GCF_900583485v1/GCF_900583485v1.tsv	GCF_900583485.1_genomic.fna
GCF_013414495v1	contig	ncbi	4012499	146	98142	336232	16	6	10	18223	7	IS3	0.4542	results/isescan/GCF_013414495v1/GCF_013414495v1.tsv	GCF_013414495.1_genomic.fna
GCF_021286605v1	contig	ncbi	4852493	42	383041	715768	6	1	5	10917	4	IS3	0.225	results/isescan/GCF_021286605v1/GCF_021286605v1.tsv	GCF_021286605.1_genomic.fna
GCF_040326695v1	contig	ncbi	4608423	28	671066	1726476	5	2	3	8920	3	ISNCY	0.1936	results/isescan/GCF_040326695v1/GCF_040326695v1.tsv	GCF_040326695.1_genomic.fna
GCF_049537415v1	contig	ncbi	4699911	60	229069	478936	3	1	2	6360	2	IS21	0.1353	results/isescan/GCF_049537415v1/GCF_049537415v1.tsv	GCF_049537415.1_genomic.fna
GCF_003949395v1	contig	ncbi	4003534	125	94743	281699	13	5	8	15543	6	IS6	0.3882	results/isescan/GCF_003949395v1/GCF_003949395v1.tsv	GCF_003949395.1_genomic.fna
GCF_014335185v1	contig	ncbi	2414890	9	511325	556998	4	2	2	5701	3	IS110	0.2361	results/isescan/GCF_014335185v1/GCF_014335185v1.tsv	GCF_014335185.1_genomic.fna
GCF_015912065v1	contig	ncbi	5469549	108	129922	392343	22	4	18	18669	6	IS256	0.3413	results/isescan/GCF_015912065v1/GCF_015912065v1.tsv	GCF_015912065.1_genomic.fna
GCF_014288005v1	contig	ncbi	7159456	80	390347	943469	14	5	9	17140	6	IS200/IS605	0.2394	results/isescan/GCF_014288005v1/GCF_014288005v1.tsv	GCF_014288005.1_genomic.fna
GCF_009675425v1	contig	ncbi	2812536	76	104776	402983	15	3	12	13275	6	IS1182	0.472	results/isescan/GCF_009675425v1/GCF_009675425v1.tsv	GCF_009675425.1_genomic.fna
GCF_054357135v1	contig	ncbi	4838736	182	78075	209695	48	12	36	45847	13	IS3	0.9475	results/isescan/GCF_054357135v1/GCF_054357135v1.tsv	GCF_054357135.1_genomic.fna
GCF_045887855v1	contig	ncbi	6014319	31	5515978	5515978	62	34	28	77298	15	IS3	1.2852	results/isescan/GCF_045887855v1/GCF_045887855v1.tsv	GCF_045887855.1_genomic.fna
GCF_000496935v2	contig	ncbi	7683253	236	97231	283460	68	23	45	90710	16	IS66	1.1806	results/isescan/GCF_000496935v2/GCF_000496935v2.tsv	GCF_000496935.2_genomic.fna
GCF_030850225v1	contig	ncbi	5482164	43	435263	884649	32	12	20	40252	11	IS3	0.7342	results/isescan/GCF_030850225v1/GCF_030850225v1.tsv	GCF_030850225.1_genomic.fna
GCF_059428335v1	contig	ncbi	5726409	81	233971	482431	38	23	15	59416	14	IS3	1.0376	results/isescan/GCF_059428335v1/GCF_059428335v1.tsv	GCF_059428335.1_genomic.fna
GCF_002926165v1	contig	ncbi	7002789	186	83875	394206	37	18	19	46423	11	IS5	0.6629	results/isescan/GCF_002926165v1/GCF_002926165v1.tsv	GCF_002926165.1_genomic.fna
GCF_003185325v1	contig	ncbi	2632088	204	73082	178920	20	0	20	9530	4	IS1182	0.3621	results/isescan/GCF_003185325v1/GCF_003185325v1.tsv	GCF_003185325.1_genomic.fna
